2.03e+4, 7.39e-17
2.08e+4, 5.18e-17
2.07e+4, 3.96e-17
2.23e+4, 3.78e-17
2.24e+4, 2.99e-17
2.44e+4, 3.08e-17
2.38e+4, 2.47e-17
2.65e+4, 2.73e-17
2.78e+4, 4.17e-17
2.87e+4, 5.12e-17
3.11e+4, 3.62e-17
3.04e+4, 2.70e-17
3.30e+4, 5.19e-17
3.41e+4, 4.04e-17
3.37e+4, 2.64e-17
3.63e+4, 5.98e-17
3.63e+4, 7.93e-17
3.89e+4, 3.45e-17
4.08e+4, 2.70e-17
4.43e+4, 3.00e-17
4.71e+4, 3.62e-17
4.88e+4, 4.79e-17
5.18e+4, 4.28e-17
5.20e+4, 3.36e-17
5.41e+4, 2.08e-17
5.70e+4, 1.86e-17
6.09e+4, 2.39e-17
6.08e+4, 3.12e-17
6.62e+4, 2.50e-17
6.77e+4, 1.86e-17
7.18e+4, 1.45e-17
7.31e+4, 2.29e-17
7.39e+4, 1.80e-17
7.99e+4, 2.09e-17
8.07e+4, 1.71e-17
8.66e+4, 2.36e-17
8.84e+4, 1.75e-17
9.19e+4, 3.04e-17
9.31e+4, 2.33e-17
9.35e+4, 1.88e-17
1.00e+5, 3.63e-17
1.01e+5, 9.78e-17
1.02e+5, 5.98e-17
1.03e+5, 2.52e-17
1.06e+5, 1.74e-17
1.06e+5, 4.07e-17
1.06e+5, 2.63e-17
1.12e+5, 1.15e-17
1.15e+5, 9.40e-18
1.23e+5, 1.30e-17
1.26e+5, 1.80e-17
1.24e+5, 3.10e-17
1.26e+5, 2.28e-17
1.33e+5, 1.11e-17
1.31e+5, 1.50e-17
1.32e+5, 2.04e-17
1.44e+5, 9.13e-18
1.56e+5, 8.95e-18
1.69e+5, 9.33e-18
1.83e+5, 9.26e-18
1.98e+5, 9.05e-18
2.14e+5, 9.13e-18
2.32e+5, 8.98e-18
2.51e+5, 9.04e-18
2.72e+5, 9.06e-18
2.95e+5, 9.36e-18
3.19e+5, 9.29e-18
3.46e+5, 9.83e-18
3.74e+5, 9.70e-18
4.05e+5, 1.04e-17
4.39e+5, 1.11e-17
4.75e+5, 1.24e-17
5.15e+5, 1.64e-17
5.55e+5, 2.14e-17
5.99e+5, 2.74e-17
6.52e+5, 2.71e-17
6.90e+5, 1.90e-17
7.23e+5, 1.34e-17
7.69e+5, 9.94e-18
8.30e+5, 8.00e-18
8.99e+5, 7.10e-18
9.74e+5, 6.74e-18
1.05e+6, 6.58e-18
1.14e+6, 6.42e-18
1.24e+6, 6.36e-18
1.34e+6, 6.24e-18
1.45e+6, 6.32e-18
1.57e+6, 6.09e-18
1.70e+6, 5.95e-18
1.84e+6, 5.89e-18
1.99e+6, 5.74e-18
2.16e+6, 5.54e-18
2.34e+6, 5.52e-18
2.53e+6, 5.47e-18
2.74e+6, 5.28e-18
2.97e+6, 5.18e-18
3.22e+6, 4.92e-18
3.48e+6, 4.72e-18
3.77e+6, 4.43e-18
4.09e+6, 4.17e-18
4.43e+6, 3.99e-18
4.79e+6, 3.83e-18
5.19e+6, 3.63e-18
5.62e+6, 3.53e-18
6.09e+6, 3.42e-18
6.59e+6, 3.36e-18
7.14e+6, 3.36e-18
7.73e+6, 3.33e-18
8.37e+6, 3.36e-18
9.07e+6, 3.46e-18
9.82e+6, 3.53e-18
1.06e+7, 3.63e-18
1.15e+7, 3.86e-18
1.25e+7, 4.10e-18
1.35e+7, 4.38e-18
1.46e+7, 4.78e-18
1.58e+7, 5.19e-18
1.72e+7, 5.77e-18
1.86e+7, 6.41e-18
2.01e+7, 7.19e-18
2.18e+7, 8.16e-18
2.36e+7, 9.28e-18
2.55e+7, 1.06e-17
2.77e+7, 1.22e-17
3.00e+7, 1.41e-17
3.24e+7, 1.65e-17
3.51e+7, 1.94e-17
3.81e+7, 2.30e-17
4.12e+7, 2.68e-17
4.46e+7, 3.16e-17
4.83e+7, 3.77e-17
5.23e+7, 4.39e-17
5.67e+7, 5.22e-17
6.14e+7, 6.46e-17
6.65e+7, 7.98e-17
7.20e+7, 9.34e-17
7.75e+7, 1.06e-16
8.38e+7, 1.11e-16
9.08e+7, 1.22e-16
9.79e+7, 1.38e-16
