2.07e+4, 3.59e-15
2.09e+4, 2.91e-15
2.27e+4, 2.95e-15
2.41e+4, 2.33e-15
2.54e+4, 1.69e-15
2.72e+4, 1.26e-15
2.93e+4, 1.39e-15
3.16e+4, 1.67e-15
3.43e+4, 1.60e-15
3.71e+4, 1.53e-15
4.02e+4, 1.54e-15
4.32e+4, 1.53e-15
4.53e+4, 1.10e-15
4.64e+4, 7.68e-16
4.87e+4, 5.72e-16
5.25e+4, 5.10e-16
5.69e+4, 5.09e-16
6.16e+4, 4.37e-16
6.67e+4, 3.97e-16
7.23e+4, 3.92e-16
7.83e+4, 3.30e-16
8.48e+4, 2.88e-16
9.18e+4, 3.33e-16
9.94e+4, 3.88e-16
1.08e+5, 4.13e-16
1.17e+5, 3.67e-16
1.26e+5, 3.13e-16
1.37e+5, 3.29e-16
1.48e+5, 3.14e-16
1.60e+5, 2.61e-16
1.74e+5, 2.85e-16
1.88e+5, 3.54e-16
2.01e+5, 3.24e-16
2.14e+5, 2.74e-16
2.32e+5, 2.96e-16
2.51e+5, 2.87e-16
2.72e+5, 2.97e-16
2.95e+5, 3.31e-16
3.19e+5, 3.53e-16
3.46e+5, 3.87e-16
3.74e+5, 4.14e-16
4.05e+5, 4.00e-16
4.39e+5, 4.14e-16
4.74e+5, 3.83e-16
5.15e+5, 4.08e-16
5.57e+5, 4.15e-16
6.04e+5, 3.75e-16
6.54e+5, 3.45e-16
7.08e+5, 3.60e-16
7.64e+5, 3.37e-16
8.30e+5, 3.44e-16
9.03e+5, 3.63e-16
9.69e+5, 3.45e-16
1.06e+6, 3.57e-16
1.14e+6, 4.05e-16
1.24e+6, 4.07e-16
1.33e+6, 4.64e-16
1.40e+6, 4.11e-16
1.45e+6, 5.95e-16
1.50e+6, 7.39e-16
1.64e+6, 6.05e-16
1.72e+6, 3.82e-16
1.84e+6, 3.12e-16
2.00e+6, 2.33e-16
2.17e+6, 2.01e-16
2.33e+6, 1.89e-16
2.53e+6, 1.76e-16
2.74e+6, 1.63e-16
2.97e+6, 1.61e-16
3.23e+6, 1.42e-16
3.50e+6, 1.32e-16
3.79e+6, 1.27e-16
4.04e+6, 1.22e-16
4.36e+6, 1.13e-16
4.75e+6, 1.05e-16
5.10e+6, 1.00e-16
5.55e+6, 9.20e-17
5.99e+6, 9.15e-17
6.47e+6, 8.44e-17
6.69e+6, 7.51e-17
7.19e+6, 8.08e-17
7.77e+6, 7.74e-17
8.37e+6, 7.55e-17
9.10e+6, 7.58e-17
9.79e+6, 7.07e-17
1.07e+7, 7.03e-17
1.15e+7, 6.85e-17
1.25e+7, 6.97e-17
1.35e+7, 6.62e-17
1.46e+7, 6.61e-17
1.58e+7, 6.86e-17
1.71e+7, 6.61e-17
1.86e+7, 6.46e-17
2.01e+7, 6.49e-17
2.18e+7, 6.59e-17
2.36e+7, 6.55e-17
2.55e+7, 6.54e-17
2.77e+7, 6.55e-17
3.00e+7, 6.52e-17
3.24e+7, 6.79e-17
3.51e+7, 6.75e-17
3.81e+7, 6.75e-17
4.12e+7, 7.01e-17
4.46e+7, 7.55e-17
4.83e+7, 7.58e-17
5.23e+7, 7.72e-17
5.66e+7, 8.18e-17
6.17e+7, 8.89e-17
6.66e+7, 9.87e-17
7.20e+7, 9.72e-17
7.80e+7, 1.08e-16
8.44e+7, 1.19e-16
9.14e+7, 1.29e-16
9.83e+7, 1.41e-16
