2.16e+4, 6.28e-14
2.33e+4, 5.96e-14
2.53e+4, 5.50e-14
2.74e+4, 4.75e-14
2.96e+4, 4.28e-14
3.21e+4, 4.04e-14
3.48e+4, 3.94e-14
3.77e+4, 3.83e-14
4.08e+4, 3.35e-14
4.42e+4, 2.86e-14
4.78e+4, 2.63e-14
5.18e+4, 2.35e-14
5.61e+4, 2.26e-14
6.07e+4, 2.20e-14
6.58e+4, 2.14e-14
7.12e+4, 1.88e-14
7.71e+4, 1.71e-14
8.35e+4, 1.61e-14
9.05e+4, 1.57e-14
9.80e+4, 1.53e-14
1.06e+5, 1.39e-14
1.15e+5, 1.34e-14
1.24e+5, 1.26e-14
1.35e+5, 1.34e-14
1.46e+5, 1.26e-14
1.58e+5, 1.18e-14
1.71e+5, 1.15e-14
1.85e+5, 1.13e-14
2.01e+5, 1.10e-14
2.17e+5, 1.05e-14
2.35e+5, 9.30e-15
2.55e+5, 8.60e-15
2.76e+5, 8.03e-15
2.99e+5, 7.45e-15
3.24e+5, 7.11e-15
3.51e+5, 7.00e-15
3.80e+5, 7.05e-15
4.11e+5, 6.85e-15
4.45e+5, 6.65e-15
4.82e+5, 6.66e-15
4.98e+5, 1.73e-14
4.98e+5, 1.28e-14
5.01e+5, 8.60e-15
5.30e+5, 6.60e-15
5.74e+5, 6.59e-15
6.21e+5, 6.39e-15
6.73e+5, 6.43e-15
7.29e+5, 6.31e-15
7.89e+5, 6.18e-15
8.55e+5, 6.40e-15
9.26e+5, 6.38e-15
1.00e+6, 6.56e-15
1.09e+6, 6.39e-15
1.18e+6, 6.50e-15
1.27e+6, 6.18e-15
1.38e+6, 6.39e-15
1.49e+6, 6.34e-15
1.62e+6, 6.40e-15
1.75e+6, 6.44e-15
1.90e+6, 6.59e-15
2.05e+6, 6.66e-15
2.22e+6, 6.84e-15
2.41e+6, 6.88e-15
2.61e+6, 6.95e-15
2.82e+6, 7.00e-15
3.06e+6, 7.30e-15
3.31e+6, 7.50e-15
3.59e+6, 7.74e-15
3.88e+6, 7.97e-15
4.21e+6, 8.19e-15
4.56e+6, 8.63e-15
4.93e+6, 8.94e-15
5.34e+6, 9.11e-15
5.79e+6, 9.86e-15
6.27e+6, 1.04e-14
6.79e+6, 1.09e-14
7.35e+6, 1.14e-14
7.96e+6, 1.22e-14
8.62e+6, 1.29e-14
9.33e+6, 1.39e-14
1.01e+7, 1.47e-14
1.09e+7, 1.61e-14
1.19e+7, 1.75e-14
1.28e+7, 1.88e-14
1.39e+7, 2.01e-14
1.51e+7, 2.13e-14
1.63e+7, 2.29e-14
1.77e+7, 2.50e-14
1.91e+7, 2.75e-14
2.07e+7, 2.87e-14
2.24e+7, 3.15e-14
2.43e+7, 3.36e-14
2.63e+7, 3.68e-14
2.85e+7, 4.04e-14
3.08e+7, 4.34e-14
3.34e+7, 4.78e-14
3.62e+7, 5.26e-14
3.92e+7, 5.70e-14
4.24e+7, 6.24e-14
4.59e+7, 6.88e-14
4.97e+7, 7.48e-14
5.39e+7, 8.15e-14
5.83e+7, 8.98e-14
6.32e+7, 9.91e-14
6.84e+7, 1.11e-13
7.41e+7, 1.25e-13
8.02e+7, 1.40e-13
8.69e+7, 1.61e-13
9.41e+7, 1.90e-13
9.99e+7, 2.06e-13
